[0.8310418725013733, 0.1689581722021103]
[0.7127779722213745, 0.2872219979763031]
[0.7696493268013, 0.23035068809986115]
[0.686019241809845, 0.3139807879924774]
[0.6730718016624451, 0.3269282579421997]
[0.6567966341972351, 0.3432033956050873]
[0.6249423027038574, 0.3750576972961426]
[0.6940391063690186, 0.30596083402633667]
[0.7030630111694336, 0.2969370484352112]
[0.9971790313720703, 0.002820973051711917]
[0.9216465950012207, 0.07835334539413452]
[0.7992791533470154, 0.20072084665298462]
[0.7869601249694824, 0.2130398005247116]
